"n1","n2","marg1","cilo1","cihi1","marg2","cilo2","cihi2"
0.8,1.2,0.0116251674960323,0.00485502115652617,0.0183953138355384,0.0111903998188534,0.000198510263118323,0.0221822893745884
NA,NA,NA,NA,NA,NA,NA,NA
2.8,3.2,0.00968317456179745,0.00362336733515359,0.0157429817884413,0.00931451913078737,-0.000508955047085214,0.01913799330866
NA,NA,NA,NA,NA,NA,NA,NA
4.8,5.2,0.00774118162756264,0.00233294993318023,0.013149413321945,0.00743863844272137,-0.00125089420065178,0.0161281710860945
NA,NA,NA,NA,NA,NA,NA,NA
6.8,7.2,0.00579918869332782,0.000959973801794362,0.0106384035848613,0.00556275775465538,-0.00204274248636965,0.0131682579956804
NA,NA,NA,NA,NA,NA,NA,NA
8.8,9.2,0.00385719575909301,-0.000527819148867485,0.0082422106670535,0.00368687706658938,-0.00290915310248063,0.0102829072356594
NA,NA,NA,NA,NA,NA,NA,NA
10.8,11.2,0.00191520282485819,-0.0021689170301304,0.00599932267984679,0.00181099637852338,-0.00388987353627012,0.00751186629331689
NA,NA,NA,NA,NA,NA,NA,NA
12.8,13.2,-2.67901093766194e-05,-0.00399831859436423,0.003944738375611,-6.48843095426132e-05,-0.00504690651930638,0.00491713790022116
NA,NA,NA,NA,NA,NA,NA,NA
14.8,15.2,-0.00196878304361143,-0.00603170887292505,0.00209414278570218,-0.00194076499760861,-0.00646508776801604,0.00258355777279882
NA,NA,NA,NA,NA,NA,NA,NA
16.8,17.2,-0.00391077597784625,-0.00825623548775071,0.000434683532058217,-0.0038166456856746,-0.00822649505749454,0.000593203686145335
NA,NA,NA,NA,NA,NA,NA,NA
18.8,19.2,-0.00585276891208106,-0.0106381628018475,-0.00106737502231459,-0.0056925263737406,-0.0103564700003854,-0.00102858274709585
NA,NA,NA,NA,NA,NA,NA,NA
20.8,21.2,-0.00779476184631588,-0.0131387580362929,-0.00245076565633884,-0.0075684070618066,-0.0128015984917053,-0.00233521563190787
NA,NA,NA,NA,NA,NA,NA,NA
22.8,23.2,-0.00973675478055069,-0.0157249030875855,-0.0037486064735159,-0.00944428774987259,-0.0154732626752207,-0.00341531282452444
NA,NA,NA,NA,NA,NA,NA,NA
24.8,25.2,-0.0116787477147855,-0.0183719434601584,-0.00498555196941261,-0.0113201684379386,-0.0182943428319478,-0.00434599404392937
NA,NA,NA,NA,NA,NA,NA,NA
26.8,27.2,-0.0136207406490203,-0.0210625914063919,-0.00617888989164875,-0.0131960491260046,-0.0212121580339909,-0.00517994021801831
NA,NA,NA,NA,NA,NA,NA,NA
28.8,29.2,-0.0155627335832551,-0.0237849437711782,-0.00734052339533209,-0.0150719298140706,-0.0241936193116585,-0.00595024031648265
NA,NA,NA,NA,NA,NA,NA,NA
