"x","estimate","min90","max90"
-5,-0.07576561159462,-0.110622654304929,-0.0409085688843112
-4,-0.058664183353278,-0.0858785082014672,-0.0314498585050889
-3,-0.0425369080731451,-0.0624481262200777,-0.0226256899262125
-2,-0.0273837857542211,-0.0403277554438965,-0.0144398160645456
-1,-0.013204816396506,-0.0195132455279226,-0.00689638726508951
0,0,0,0
1,0.0122306634352971,0.00624424809050183,0.0182170787800923
2,0.0234871739093852,0.0118306960570664,0.035143651761704
3,0.0337695314222643,0.0167530496001981,0.0507860132443304
4,0.0430777359739344,0.0210043023104181,0.0651511696374507
5,0.0514117875643956,0.0245766473878437,0.0782469277409475
6,0.0587716861936478,0.0274613791114924,0.0900819932758032
7,0.065157431861691,0.0296487834808095,0.100666080242573
8,0.0705690245685252,0.0311280177170132,0.110010031420037
9,0.0750064643141505,0.0318869787311255,0.118125949897175
10,0.0784697510985668,0.0319121612889025,0.125027340908231
11,0.0809588849217741,0.0311885074871852,0.130729262356363
12,0.0824738657837724,0.0296992503608572,0.135248481206688
13,0.0830146936845618,0.0274257560174706,0.138603631351653
14,0.0825813686241422,0.0243473706783805,0.140815366569904
15,0.0811738906025136,0.0204412813754994,0.141906499829528
16,0.078792259619676,0.0156824017170301,0.141902117522322
17,0.0754364756756294,0.0100432968801587,0.1408296544711
18,0.0711065387703739,0.00349416444145903,0.138718913099289
19,0.0658024489039094,-0.00399711073843399,0.135602008546253
20,0.059524206076236,-0.012464809323453,0.131513221475925
21,0.0522718102873535,-0.021945122093175,0.126488742667882
22,0.0440452615372621,-0.0324757758405305,0.120566298915055
23,0.0348445598259617,-0.0440955389853706,0.113784658637294
24,0.0246697051534523,-0.0568436173338584,0.106183027640763
25,0.0135206975197339,-0.070758964340319,0.0978003593797869
26,0.00139753692480665,-0.085879543890024,0.0886746177396373
27,-0.0116997766313297,-0.102241594230745,0.078842040968086
28,-0.025771243148675,-0.119878946518987,0.0683364602216367
29,-0.0408168626272292,-0.138822448735343,0.0571887234808848
30,-0.0568366350669924,-0.159099535344367,0.0454262652103818
31,-0.0738305604679647,-0.180733966787063,0.033072845851134
32,-0.0917986388301458,-0.203745743891921,0.0201484662316291
33,-0.110740870153536,-0.22815118424629,0.00666944393921808
34,-0.130657254438135,-0.253963133570608,-0.00735137530566242
35,-0.151547791683943,-0.28119127692982,-0.0219043064380667
