h,N,beta_h,beta_prime_h,irf_cold,se_cold,t_cold,irf_mod,se_mod,t_mod,irf_hot,se_hot,t_hot
0,6086,0.00875585287855444,-0.000825070620307471,0.00463049977701709,0.00219487950824943,2.10968290496741,-0.00362020642605763,0.00188115666357526,-1.92445769996487,-0.0118709126291323,0.00346448286091409,-3.42646019787214
1,6083,0.00502765465219551,-0.000460935782266726,0.00272297574086188,0.00390382314585062,0.697515138142499,-0.00188638208180537,0.002297886000205,-0.820920655610021,-0.00649573990447263,0.00450530520658454,-1.44179797075214
2,6079,-0.00165159354356976,-0.000119010010356205,-0.00224664359535078,0.00512815940555064,-0.438099407151629,-0.00343674369891283,0.0030922883006925,-1.11139174770451,-0.00462684380247488,0.00543879279160403,-0.850711542020395
3,6065,-0.00455142878463922,-0.000249411997960964,-0.00579848877444403,0.0061902000006227,-0.93672074793395,-0.00829260875405367,0.00353928996933063,-2.34301479277269,-0.0107867287336633,0.00632841634041334,-1.70449100587443
4,5899,-0.00770972051126782,0.000170894837652043,-0.00685524632300761,0.00747318647736914,-0.917312359830331,-0.00514629794648718,0.00426378680406819,-1.20697825265957,-0.00343734956996675,0.00757502479592173,-0.45377403540875
5,5733,-0.00922329995338795,0.000389854060701126,-0.00727402964988232,0.00574549456695961,-1.26604064543247,-0.00337548904287106,0.00423558974297897,-0.796934842064525,0.000523051564140196,0.00752601513750733,0.0694991379346913
6,5567,-0.00395714609653866,0.000169647788704084,-0.00310890715301824,0.00529992006766522,-0.586595102063078,-0.00141242926597739,0.0041247331457651,-0.342429247193251,0.000284048621063448,0.00719850389292762,0.0394593967424981
7,5400,0.00513499164941991,-0.000384531517313253,0.00321233406285364,0.00376742040037422,0.852661429166376,-0.000632981110278887,0.00388897551493312,-0.162762945626252,-0.00447829628341142,0.00749981341178955,-0.597121026554024
8,5235,0.00571227801144373,-0.000485095612680186,0.00328679994804281,0.0042118999904009,0.780360396859746,-0.00156415617875905,0.00450734069144289,-0.347024173639365,-0.00641511230556091,0.00861155692775868,-0.744942216532564
9,5067,0.00655511416563693,-0.00059139641074591,0.00359813211190738,0.00478822365283683,0.75145447931941,-0.00231583199555172,0.00482022225644798,-0.480440915863132,-0.00822979610301082,0.00925253942736613,-0.889463500006242
10,4904,0.00378719110529375,-0.000535429486497982,0.00111004367280384,0.00584267483999829,0.189988952526437,-0.00424425119217597,0.00521346219363556,-0.814094556465228,-0.00959854605715579,0.00978640700445312,-0.980803889802269
