"model","term","estimate","se","t","p","nobs"
"BHM_baseline","temp",0.0127183479238035,0.00373744427674279,3.40295318995034,0.000666617003747304,6584
"BHM_baseline","temp2",-0.000487090269248212,0.000116820592159131,-4.16955829657759,3.05190546019842e-05,6584
"BHM_baseline","prec",1.44514960166854e-05,9.89974557030094e-06,1.45978458881203,0.144349285361797,6584
"BHM_baseline","prec2",-4.74580403111041e-09,1.00000255809532e-06,-0.00474579189092236,0.996213420135355,6584
"NRK_simple_shock","shock_simple",0.0123194819480616,0.00360535717263042,3.41699347892166,0.00063316796234765,6584
"NRK_simple_shock","shock_simple_x_Tbar",-0.000960551589092756,0.000230147097892593,-4.17364197892703,2.99768703642038e-05,6584
"NRK_simple_shock","prec",1.44516336422732e-05,9.8858995967754e-06,1.46184305240032,0.143784223344126,6584
"NRK_simple_shock","prec2",-4.73939455990617e-09,1.00000255350213e-06,-0.00473938245788294,0.996218534065509,6584
"NRK_AR_shock","shock_nrk",0.00866634166636163,0.00303699455771135,2.85359143774446,0.00432280857436045,6277
"NRK_AR_shock","shock_nrk_x_Tbar",-0.000792721219858422,0.000218636179959885,-3.62575498713832,0.00028811843744394,6277
"NRK_AR_shock","prec",1.81380846328787e-05,9.9450427985841e-06,1.82383173207269,0.0681775150091642,6277
"NRK_AR_shock","prec2",-5.58050914607627e-09,1.00000247075969e-06,-0.00558049535801328,0.99554743202248,6277
"MS_within","temp",-0.000580016603476942,0.00202936820474238,-0.285811417623237,0.77502256275828,6584
"MS_within","within_sq",-0.00390871874422483,0.00214496374995568,-1.82227729690331,0.0684129212069888,6584
"MS_within","prec",1.9252753171532e-05,9.94919283737789e-06,1.93510704699599,0.0529771609441909,6584
"MS_within","prec2",-5.69192199213132e-09,1.00000261448639e-06,-0.00569190711071766,0.995458539717073,6584
"MS_hybrid","temp",0.0117753247921353,0.00348129491716093,3.38245540016998,0.000718409421646034,6584
"MS_hybrid","temp2",-0.000455862821886594,0.000112678492851294,-4.04569505991007,5.21681056995627e-05,6584
"MS_hybrid","within_sq",-0.00252937184796295,0.0021037911781685,-1.20229225895174,0.229250315063224,6584
"MS_hybrid","prec",1.49423865188556e-05,9.82056795369218e-06,1.52153995464568,0.128124392728133,6584
"MS_hybrid","prec2",-4.86825762303456e-09,1.0000025338024e-06,-0.00486824528786297,0.996115717589413,6584
